enabled,name,type,value.type,scale,offset,unit,listen,resource
true,ACC_X,READ,FLOAT,,,,false,ACCELERATION_X
true,ACC_Y,READ,FLOAT,,,,false,ACCELERATION_Y
true,ACC_Z,READ,FLOAT,,,,false,ACCELERATION_Z
true,GYRO_X,READ,FLOAT,,,,false,GYROSCOPE_X
true,GYRO_Y,READ,FLOAT,,,,false,GYROSCOPE_Y
true,GYRO_Z,READ,FLOAT,,,,false,GYROSCOPE_Z
true,HUMIDITY,READ,FLOAT,,,,false,HUMIDITY
true,MAGNET_X,READ,FLOAT,,,,false,MAGNETOMETER_X
true,MAGNET_Y,READ,FLOAT,,,,false,MAGNETOMETER_Y
true,MAGNET_Z,READ,FLOAT,,,,false,MAGNETOMETER_Z
true,PRESSURE,READ,FLOAT,,,,false,PRESSURE
true,TEMP_HUM,READ,FLOAT,,,,false,TEMPERATURE_FROM_HUMIDITY
true,TEMP_PRESS,READ,FLOAT,,,,false,TEMPERATURE_FROM_PRESSURE
